charger,Extra ports added,x_coord,y_coord,Latitude,Longitude,NearestBus,Pwr_Region
1024,1,-10897057.99628538,3535556.523598031,30.24868750000001,-97.88993750000004,p3udt20055lv,P3U
1027,1,-10887247.96615922,3547998.095122939,30.34518749999999,-97.80181250000001,p5ulv32726,P5U
1028,1,-10907883.81676502,3544354.605510323,30.316937499999998,-97.98718749999999,p4ulv19021,P4U
1050,1,-10889488.27091143,3567442.457144531,30.495812499999992,-97.82193749999996,p1rlv1501,P1R
1070,1,-10887275.79603192,3520005.639460523,30.1279375,-97.80206250000002,p3udt25359lv,P3U
1071,2,-10882182.92932812,3523159.350499165,30.1524375,-97.75631249999995,p3udt19678,P3U
1121,1,-10843276.76729587,3549094.572113656,30.35368750000001,-97.40681249999996,p2ulv1792,P2U
1129,1,-10868782.84562388,3539342.493729262,30.278062500000004,-97.63593749999997,p2udm22464,P2U
1134,1,-10871718.89719356,3547127.431230443,30.3384375,-97.66231250000003,p5ulv72775,P5U
1136,1,-10857511.74718107,3549965.371702002,30.360437500000007,-97.53468750000003,p2ulv22751,P2U
1232,1,-10864469.21535565,3563648.045338351,30.466437499999998,-97.59718750000005,p1ulv10966,P1U
1238,1,-10868059.26893373,3560581.059628194,30.442687499999998,-97.62943750000002,p1udt24509lv,P1U
1241,1,-10863731.72372914,3557918.230780434,30.422062499999992,-97.59056249999999,p1rlv2990,P1R
1246,1,-10870703.10684007,3554400.931957952,30.394812499999997,-97.65318750000002,p1ulv31449,P1U
1252,2,-10874237.50067275,3566182.90838814,30.48606249999999,-97.68493749999996,p1ulv15174,P1U
1255,3,-10873513.9239826,3566538.152951642,30.488812500000005,-97.67843750000002,p1ulv29219,P1U
1271,1,-10907355.04918375,3529646.229205474,30.202812500000007,-97.98243749999997,p3udt8237_b2_1,P3U
1304,2,-10889975.29368365,3541050.578740198,30.291312499999997,-97.82631249999997,p5udt32429,P5U
1322,1,-10872484.21869276,3529871.639464186,30.204562499999998,-97.66918749999999,p2udm8089-p2udm8090xx,P2U
18,5,-10913830.81697494,3554073.75264424,30.39227731699329,-98.04061031183231,p1rlv3226,P1R
19,1,-10913830.81697494,3560373.75264424,30.441081955719383,-98.04061031183231,p1rlv8702,P1R
23,6,-10907530.81697494,3547773.75264424,30.343448283540734,-97.98401644893279,p4ulv38004,P4U
24,4,-10907530.81697494,3554073.75264424,30.39227731699329,-97.98401644893279,p4udt15767lv,P4U
25,1,-10907530.81697494,3560373.75264424,30.441081955719383,-97.98401644893279,p4ulv10658,P4U
26,3,-10907530.81697494,3566673.75264424,30.489862176513196,-97.98401644893279,p4ulv19599,P4U
33,6,-10901230.81697494,3560373.75264424,30.441081955719383,-97.92742258603326,p4ulv32823,P4U
34,5,-10901230.81697494,3566673.75264424,30.489862176513196,-97.92742258603326,p4ulv16185,P4U
36,4,-10894930.81697494,3522573.75264424,30.147888669468426,-97.87082872313373,p3udt31036-p3udt4803x,P3U
39,4,-10894930.81697494,3560373.75264424,30.441081955719383,-97.87082872313373,p4udt12818-p4udt15019x,P4U
42,1,-10888630.81697494,3516273.75264424,30.098938013357436,-97.8142348602342,p1rdt8111,P1R
45,6,-10882330.81697494,3516273.75264424,30.098938013357436,-97.75764099733466,p1rlv10253,P1R
48,6,-10876030.81697494,3509973.75264424,30.049963103487254,-97.70104713443513,p1rdt7880,P1R
70,5,-10857130.81697494,3535173.75264424,30.245717125691755,-97.53126554573655,p1rlv767,P1R
